CalendarDay,Bucket,DamageRate
7/11/2013,1,0.734933083
1/23/2016,1,0.874850992
1/22/2016,1,0.876298181
1/21/2016,1,0.844620853
7/10/2013,1,0.734783376
1/15/2016,1,0.83424397
1/24/2016,1,0.851977692
1/26/2016,1,0.813066658
1/25/2016,1,0.853188725
1/27/2016,1,0.827614884
5/12/2017,1,0.900768499
11/12/2010,1,0.775235268
7/12/2013,1,0.685824426
7/9/2013,1,0.759385361
1/18/2016,1,0.873704952
1/16/2016,1,0.853418028
7/17/2013,1,0.768419471
10/11/2016,1,0.835984615
12/3/2010,1,0.744814175
1/17/2016,1,0.824194016
7/18/2013,1,0.66205239
10/10/2016,1,0.886505136
8/13/2009,1,0.59577159
7/15/2013,1,0.772364804
5/19/2017,1,0.893437372
1/19/2016,1,0.81523674
7/16/2013,1,0.72357184
1/20/2016,1,0.840163737
11/26/2010,1,0.751014565
11/19/2010,1,0.760050862
4/28/2017,1,0.897388241
2/4/2016,1,0.84160555
6/27/2013,1,0.675063616
10/22/2010,1,0.755456489
2/5/2016,1,0.859798378
6/28/2013,1,0.73218107
10/16/2010,1,0.7296662
2/8/2016,1,0.853810201
6/25/2013,1,0.735504737
10/8/2010,1,0.718380972
2/7/2016,1,0.842849634
6/26/2013,1,0.689886781
2/3/2016,1,0.847116445
2/6/2016,1,0.883286447
2/1/2016,1,0.876433902
5/5/2017,1,0.896421481
1/29/2016,1,0.802331426
10/9/2016,1,0.910231193
7/3/2013,1,0.763822961
7/5/2013,1,0.732949426
12/15/2016,1,0.823599849
1/28/2016,1,0.829382975
10/29/2010,1,0.761182607
11/5/2010,1,0.760291274
1/31/2016,1,0.871936086
7/1/2013,1,0.728637653
7/2/2013,1,0.74282503
1/30/2016,1,0.875558695
2/2/2016,1,0.832457458
8/14/2009,1,0.665981142
11/9/2012,1,0.70270856
8/6/2013,1,0.756901615
12/28/2015,1,0.844074393
1/14/2011,1,0.722373102
12/26/2015,1,0.911989838
8/11/2009,1,0.659027528
12/27/2015,1,0.864475659
8/5/2013,1,0.721814026
12/30/2015,1,0.864647876
8/2/2013,1,0.736579055
8/1/2013,1,0.777680965
1/7/2011,1,0.743122094
12/29/2015,1,0.868226178
12/24/2015,1,0.855174156
6/16/2017,1,0.905512074
8/8/2013,1,0.731731914
8/13/2013,1,0.755016423
12/19/2015,1,0.876696192
12/20/2015,1,0.89783285
1/28/2011,1,0.720576832
6/30/2017,1,0.892481902
8/12/2013,1,0.750533827
12/18/2015,1,0.826435598
